Time v_x v_y v_z
0.519038 0.401249 5.725166 -0.725616
0.521042 0.405852 5.710168 -0.757243
0.523046 0.354827 5.735606 -0.739108
0.525050 0.361052 5.716621 -0.731678
0.527054 0.384687 5.771545 -0.724366
0.529058 0.398527 5.804137 -0.732088
0.531062 0.380101 5.804160 -0.752374
0.533066 0.352438 5.802164 -0.747157
0.535070 0.345112 5.772770 -0.762939
0.537074 0.338151 5.776267 -0.738253
0.539078 0.385706 5.815120 -0.706207
0.541082 0.407322 5.827972 -0.701350
0.543086 0.417721 5.881619 -0.699638
0.545090 0.421304 5.929822 -0.698678
0.547094 0.406344 5.959359 -0.727339
0.549098 0.425800 5.981504 -0.699358
0.551102 0.447647 5.962831 -0.696726
0.553106 0.462470 5.990218 -0.687290
0.555110 0.467906 6.002859 -0.703767
0.557114 0.474216 6.005539 -0.730458
0.559118 0.474371 6.000895 -0.720298
0.561122 0.493764 6.048708 -0.737751
0.563126 0.478102 6.068707 -0.709898
0.565130 0.459291 6.075286 -0.732222
0.567134 0.457679 6.078578 -0.756288
0.569138 0.446301 6.081376 -0.729977
0.571142 0.461604 6.086080 -0.779151
0.573146 0.465481 6.104938 -0.792908
0.575150 0.481282 6.131322 -0.814188
0.577154 0.504562 6.138615 -0.847574
0.579158 0.505118 6.126126 -0.858842
0.581162 0.493004 6.155242 -0.879404
0.583166 0.494404 6.151786 -0.882951
0.585170 0.512928 6.150059 -0.859854
0.587174 0.496325 6.173940 -0.850220
0.589178 0.492080 6.139988 -0.840449
0.591182 0.491722 6.159283 -0.829448
0.593186 0.505100 6.121201 -0.795325
0.595190 0.509587 6.182690 -0.784107
0.597194 0.471227 6.147649 -0.785946
0.599198 0.509459 6.215596 -0.786042
0.601202 0.514958 6.203551 -0.804760
0.603206 0.525762 6.214825 -0.777102
0.605210 0.534170 6.228712 -0.728375
0.607214 0.556171 7.024229 -0.738629
0.609218 0.564680 7.774803 -0.720852
0.611222 0.558388 7.811798 -0.699628
0.613226 0.566386 7.828121 -0.719956
0.615230 0.570714 7.860940 -0.702386
0.617234 0.557285 7.900646 -0.714143
0.619238 0.565091 7.902405 -0.680085
0.621242 0.538279 7.929578 -0.673982
0.623246 0.499966 7.954844 -0.672184
0.625251 0.515224 7.989556 -0.652994
0.627255 0.515175 8.032415 -0.632035
0.629259 0.507144 8.043211 -0.665476
0.631263 0.513387 8.041952 -0.636261
0.633267 0.506575 8.086203 -0.619678
0.635271 0.471260 8.108967 -0.600372
0.637275 0.420405 8.171638 -0.619064
0.639279 0.464713 8.193292 -0.569721
0.641283 0.454872 8.235486 -0.571393
0.643287 0.423905 8.287242 -0.594945
0.645291 0.409313 8.318528 -0.575512
0.647295 0.394429 8.336625 -0.570488
0.649299 0.387858 8.410492 -0.594681
0.651303 0.371479 8.438182 -0.596830
0.653307 0.343665 8.451511 -0.605622
0.655311 0.347268 8.522859 -0.627236
0.657315 0.332149 8.564696 -0.618554
0.659319 0.339680 8.605471 -0.644028
0.661323 0.315639 8.630287 -0.634600
0.663327 0.308533 8.665654 -0.623662
0.665331 0.268222 8.680990 -0.582101
0.667335 0.240228 8.710756 -0.629311
0.669339 0.188053 8.740894 -0.627819
0.671343 0.164042 8.778221 -0.629477
0.673347 0.166260 8.775549 -0.627645
0.675351 0.171376 8.834784 -0.592695
0.677355 0.180555 8.913724 -0.593482
0.679359 0.213428 8.971573 -0.591168
0.681363 0.218344 8.990664 -0.630886
0.683367 0.248773 8.996115 -0.678496
0.685371 0.236849 9.029008 -0.680734
0.687375 0.253667 9.125931 -0.703718
0.689379 0.226544 9.185510 -0.693732
0.691383 0.207759 9.226461 -0.715694
0.693387 0.176896 9.265338 -0.703881
0.695391 0.197496 9.287440 -0.674354
0.697395 0.223204 9.300010 -0.652110
0.699399 0.221555 9.338941 -0.677957
0.701403 0.241373 9.376351 -0.678962
0.703407 0.298701 9.385274 -0.677099
0.705411 0.280355 9.427911 -0.688109
0.707415 0.300597 9.447670 -0.663256
0.709419 0.283741 9.504255 -0.686565
0.711423 0.302309 9.534182 -0.686620
0.713427 0.267576 9.570728 -0.715414
0.715431 0.331233 9.623296 -0.707211
0.717435 0.364174 9.673046 -0.684556
0.719439 0.353441 9.722336 -0.668358
0.721443 0.351337 9.745925 -0.691590
0.723447 0.346013 9.813071 -0.728296
0.725451 0.353441 9.841766 -0.707377
0.727455 0.360544 9.877735 -0.666478
0.729459 0.370280 9.916830 -0.656407
0.731463 0.392903 9.940564 -0.638001
0.733467 0.404644 9.981995 -0.633134
0.735471 0.429357 10.060260 -0.663324
0.737475 0.391696 10.075314 -0.684277
0.739479 0.391716 10.135656 -0.663580
0.741483 0.384819 10.213289 -0.684376
0.743487 0.393310 10.264359 -0.674043
0.745491 0.403748 10.326487 -0.663309
0.747495 0.379624 10.336879 -0.663726
0.749499 0.387009 10.357519 -0.666850
0.751503 0.356284 10.392221 -0.695919
0.753507 0.324611 10.364603 -0.705976
0.755511 0.315296 10.404536 -0.730677
0.757515 0.288200 10.468740 -0.742827
0.759519 0.282585 10.500825 -0.755923
0.761523 0.270428 10.571807 -0.754908
0.763527 0.270056 10.568974 -0.792640
0.765531 0.296347 10.559895 -0.816808
0.767535 0.274706 10.589902 -0.814007
0.769539 0.303254 10.620019 -0.802412
0.771543 0.308581 10.623080 -0.847368
0.773547 0.279685 10.649440 -0.818648
0.775551 0.206622 10.658881 -0.817681
