Time p_x p_y p_z
0.474950 -0.165628 5.294121 0.078550
0.476954 -0.165689 5.305045 0.078612
0.478958 -0.165739 5.315973 0.078655
0.480962 -0.165791 5.326910 0.078699
0.482966 -0.165846 5.337831 0.078727
0.484970 -0.165905 5.348753 0.078754
0.486974 -0.165966 5.359662 0.078768
0.488978 -0.166017 5.370576 0.078781
0.490982 -0.166075 5.381483 0.078779
0.492986 -0.166142 5.392398 0.078773
0.494990 -0.166203 5.403315 0.078759
0.496994 -0.166255 5.414254 0.078724
0.498998 -0.166303 5.425190 0.078689
0.501002 -0.166372 5.436130 0.078657
0.503006 -0.166448 5.447080 0.078606
0.505010 -0.166535 5.458025 0.078549
0.507014 -0.166631 5.468971 0.078492
0.509018 -0.166721 5.479925 0.078437
0.511022 -0.166790 5.490887 0.078397
0.513026 -0.166849 5.501874 0.078369
0.515030 -0.166912 5.512854 0.078361
0.517034 -0.166973 5.523852 0.078337
0.519038 -0.167026 5.534857 0.078322
0.521042 -0.167068 5.545870 0.078314
0.523046 -0.167106 5.556876 0.078291
0.525050 -0.167141 5.567886 0.078256
0.527054 -0.167188 5.578913 0.078229
0.529058 -0.167226 5.589936 0.078198
0.531062 -0.167263 5.600972 0.078173
0.533066 -0.167301 5.612008 0.078157
0.535070 -0.167332 5.623043 0.078136
0.537074 -0.167367 5.634082 0.078133
0.539078 -0.167411 5.645108 0.078126
0.541082 -0.167464 5.656124 0.078121
0.543086 -0.167513 5.667137 0.078114
0.545090 -0.167558 5.678169 0.078109
0.547094 -0.167609 5.689217 0.078109
0.549098 -0.167672 5.700264 0.078107
0.551102 -0.167744 5.711305 0.078098
0.553106 -0.167810 5.722354 0.078084
0.555110 -0.167881 5.733403 0.078065
0.557114 -0.167950 5.744432 0.078054
0.559118 -0.168025 5.755475 0.078041
0.561122 -0.168113 5.766520 0.078016
0.563126 -0.168199 5.777556 0.077985
0.565130 -0.168286 5.788594 0.077945
0.567134 -0.168390 5.799645 0.077908
0.569138 -0.168509 5.810702 0.077897
0.571142 -0.168622 5.821762 0.077897
0.573146 -0.168744 5.832816 0.077878
0.575150 -0.168847 5.843866 0.077866
0.577154 -0.168951 5.854911 0.077857
0.579158 -0.169055 5.865949 0.077841
0.581162 -0.169186 5.877000 0.077819
0.583166 -0.169309 5.888053 0.077781
0.585170 -0.169450 5.899117 0.077729
0.587174 -0.169586 5.910173 0.077665
0.589178 -0.169709 5.921228 0.077601
0.591182 -0.169825 5.932300 0.077519
0.593186 -0.169952 5.943367 0.077457
0.595190 -0.170069 5.954440 0.077411
0.597194 -0.170164 5.965511 0.077354
0.599198 -0.170280 5.976589 0.077290
0.601202 -0.170418 5.987676 0.077226
0.603206 -0.170559 5.998755 0.077164
0.605210 -0.170701 6.009819 0.077104
0.607214 -0.170836 6.759850 0.077035
0.609218 -0.170968 7.509881 0.076977
0.611222 -0.171106 7.547417 0.076909
0.613226 -0.171252 7.584950 0.076849
0.615230 -0.171397 7.622483 0.076759
0.617234 -0.171515 7.660026 0.076671
0.619238 -0.171644 7.697565 0.076572
0.621242 -0.171767 7.735088 0.076489
0.623246 -0.171894 7.772603 0.076415
0.625251 -0.171998 7.810107 0.076321
0.627255 -0.172099 7.847601 0.076222
0.629259 -0.172213 7.885065 0.076114
0.631263 -0.172309 7.922541 0.076016
0.633267 -0.172388 7.960016 0.075928
0.635271 -0.172472 7.997499 0.075823
0.637275 -0.172550 8.034987 0.075711
0.639279 -0.172626 8.072460 0.075594
0.641283 -0.172696 8.109910 0.075484
0.643287 -0.172765 8.147370 0.075349
0.645291 -0.172832 8.184831 0.075208
0.647295 -0.172910 8.222292 0.075069
0.649299 -0.173001 8.259761 0.074940
0.651303 -0.173090 8.297227 0.074823
0.653307 -0.173179 8.334702 0.074708
0.655311 -0.173259 8.372184 0.074615
0.657315 -0.173343 8.409668 0.074519
0.659319 -0.173394 8.447163 0.074406
0.661323 -0.173459 8.484668 0.074293
0.663327 -0.173521 8.522169 0.074182
0.665331 -0.173591 8.559676 0.074069
0.667335 -0.173673 8.597184 0.073970
0.669339 -0.173761 8.634684 0.073874
0.671343 -0.173844 8.672173 0.073766
0.673347 -0.173916 8.709658 0.073657
0.675351 -0.173989 8.747140 0.073550
0.677355 -0.174050 8.784621 0.073455
0.679359 -0.174123 8.822070 0.073368
0.681363 -0.174193 8.859532 0.073291
0.683367 -0.174273 8.896991 0.073213
0.685371 -0.174354 8.934451 0.073136
0.687375 -0.174441 8.971893 0.073079
0.689379 -0.174528 9.009346 0.072999
0.691383 -0.174616 9.042614 0.072915
0.693387 -0.174713 9.075892 0.072832
0.695391 -0.174813 9.109167 0.072754
0.697395 -0.174907 9.142436 0.072687
0.699399 -0.175007 9.175710 0.072606
0.701403 -0.175102 9.208990 0.072527
0.703407 -0.175218 9.242274 0.072455
0.705411 -0.175341 9.275579 0.072385
0.707415 -0.175468 9.308882 0.072322
0.709419 -0.175600 9.342188 0.072264
0.711423 -0.175744 9.375497 0.072200
0.713427 -0.175888 9.408796 0.072134
