Time p_x p_y 
0.719439 -0.137768 -0.925536 
0.721443 -0.138231 -0.947030 
0.723447 -0.138704 -0.958932 
0.725451 -0.139184 -0.974034 
0.727455 -0.139671 -0.945983 
0.729459 -0.140144 -0.928034 
0.731463 -0.140608 -0.923652 
0.733467 -0.141070 -0.894820 
0.735471 -0.141517 -0.916202 
0.737475 -0.141975 -0.954523 
0.739479 -0.142452 -0.944733 
0.741483 -0.142925 -0.943340 
0.743487 -0.143396 -0.941783 
0.745491 -0.143867 -0.962447 
0.747495 -0.144349 -0.946584 
0.749499 -0.144822 -0.935400 
0.751503 -0.145290 -0.964940 
0.753507 -0.145772 -0.965899 
0.755511 -0.146255 -0.938841 
0.757515 -0.146724 -0.940886 
0.759519 -0.147195 -0.895566 
0.761523 -0.147643 -0.893937 
0.763527 -0.148090 -0.899429 
0.765531 -0.148539 -0.928070 
0.767535 -0.149003 -0.927588 
0.769539 -0.149467 -0.914213 
0.771543 -0.149924 -0.872008 
0.773547 -0.150360 -0.890115 
0.775551 -0.150805 -0.894804 
0.777555 -0.151253 -0.893060 
0.779559 -0.151699 -0.885551 
0.781563 -0.152142 -0.875926 
0.783567 -0.152580 -0.842826 
0.785571 -0.153001 -0.826924 
0.787575 -0.153415 -0.839439 
0.789579 -0.153835 -0.785699 
0.791583 -0.154227 -0.798012 
0.793587 -0.154626 -0.788517 
0.795591 -0.155021 -0.755150 
0.797595 -0.155398 -0.720270 
0.799599 -0.155758 -0.742834 
0.801603 -0.156130 -0.746680 
0.803607 -0.156503 -0.763993 
0.805611 -0.156885 -0.767117 
0.807615 -0.157269 -0.770591 
0.809619 -0.157654 -0.799059 
0.811623 -0.158053 -0.790594 
0.813627 -0.158449 -0.781208 
0.815631 -0.158839 -0.785571 
0.817635 -0.159232 -0.795554 
0.819639 -0.159630 -0.803130 
0.821643 -0.160032 -0.852707 
0.823647 -0.160458 -0.878963 
0.825651 -0.160897 -0.899344 
0.827655 -0.161347 -0.895971 
0.829659 -0.161795 -0.891001 
0.831663 -0.162240 -0.900401 
0.833667 -0.162691 -0.887360 
0.835671 -0.163134 -0.881738 
0.837675 -0.163575 -0.862671 
0.839679 -0.164007 -0.863579 
0.841683 -0.164438 -0.861490 
0.843687 -0.164869 -0.847629 
0.845691 -0.165293 -0.846969 
0.847695 -0.165716 -0.823071 
0.849699 -0.166128 -0.837007 
0.851703 -0.166546 -0.826765 
0.853707 -0.166960 -0.830148 
0.855711 -0.167375 -0.820460 
0.857715 -0.167785 -0.839183 
0.859719 -0.168205 -0.821364 
0.861723 -0.168615 -0.875223 
0.863727 -0.169053 -0.890739 
0.865731 -0.169498 -0.842378 
