Time u_x u_y u_z
0.571142 0.007465 0.329139 -0.149501
0.573146 0.017398 0.321488 -0.142542
0.575150 0.003845 0.324293 -0.120348
0.577154 -0.012708 0.347511 -0.118254
0.579158 -0.005357 0.329007 -0.104876
0.581162 -0.030432 0.336604 -0.090566
0.583166 -0.024460 0.321373 -0.081547
0.585170 -0.053550 0.340608 -0.072488
0.587174 -0.060189 0.345260 -0.058598
0.589178 -0.057584 0.353098 -0.068802
0.591182 -0.065417 0.365045 -0.072745
0.593186 -0.034901 0.348100 -0.079185
0.595190 -0.038785 0.322725 -0.057447
0.597194 -0.066392 0.334111 -0.045275
0.599198 -0.070419 0.342567 -0.050269
0.601202 -0.058483 0.315830 -0.026583
0.603206 -0.033218 0.282107 -0.014345
0.605210 -0.033286 0.290052 -0.032938
0.607214 -0.023823 0.304360 -0.062681
0.609218 -0.034936 0.311209 -0.051963
0.611222 -0.018033 0.290700 -0.048136
0.613226 -0.008439 0.265699 -0.034363
0.615230 -0.005476 0.267383 -0.032169
0.617234 0.016962 0.262999 -0.051663
0.619238 0.024006 0.248313 -0.047512
0.621242 0.033513 0.233692 -0.031101
0.623246 0.035950 0.225373 -0.038846
0.625251 0.033519 0.238998 -0.035641
0.627255 0.019599 0.236411 -0.024539
0.629259 0.024284 0.233054 -0.032959
0.631263 0.041783 0.226518 -0.035299
0.633267 0.031707 0.221122 -0.024058
0.635271 0.027484 0.208386 -0.004098
0.637275 0.021739 0.219834 0.000289
0.639279 0.033715 0.212066 0.011113
0.641283 0.027656 0.203065 0.021074
0.643287 0.001545 0.220188 0.039182
0.645291 0.028551 0.190344 0.042502
0.647295 0.011440 0.207610 0.044908
0.649299 0.001941 0.213423 0.054454
0.651303 0.000662 0.223097 0.044575
0.653307 -0.004779 0.237720 0.040064
0.655311 -0.000867 0.240564 0.040607
0.657315 -0.026631 0.256635 0.044341
0.659319 -0.029459 0.255829 0.030423
0.661323 -0.010644 0.243408 0.021511
0.663327 -0.018571 0.259229 0.006175
0.665331 -0.015185 0.267062 0.011674
0.667335 -0.025107 0.286637 0.014900
0.669339 -0.023137 0.293131 0.010043
0.671343 -0.026441 0.292831 0.004839
0.673347 -0.011206 0.278152 0.001659
0.675351 0.006769 0.265111 -0.003718
0.677355 0.013919 0.268427 0.002118
0.679359 0.034223 0.248164 0.001119
0.681363 0.032119 0.245547 -0.000703
0.683367 0.025785 0.250253 -0.028085
0.685371 0.000656 0.263127 -0.031333
0.687375 0.010995 0.258789 -0.024728
0.689379 0.019079 0.269554 -0.031959
0.691383 0.002185 0.272857 -0.015162
0.693387 -0.011415 0.288240 -0.019215
0.695391 -0.007647 0.283350 -0.025054
0.697395 -0.000284 0.255519 -0.020278
0.699399 -0.010209 0.264653 -0.025569
0.701403 -0.021119 0.276268 -0.035456
0.703407 0.011953 0.251067 -0.030122
0.705411 0.005545 0.258848 -0.042255
0.707415 0.010107 0.248883 -0.044500
0.709419 -0.001134 0.248924 -0.053841
0.711423 -0.005067 0.257189 -0.067190
0.713427 0.008451 0.249573 -0.086641
0.715431 0.004870 0.230361 -0.074510
0.717435 0.004310 0.225470 -0.053844
0.719439 0.000057 0.217401 -0.043524
0.721443 -0.005826 0.219165 -0.033435
0.723447 0.006193 0.203510 -0.006796
0.725451 0.026607 0.189087 -0.022420
0.727455 0.030311 0.194042 -0.034658
0.729459 0.017873 0.202171 -0.028482
0.731463 -0.002970 0.210538 -0.018362
0.733467 -0.018781 0.223505 -0.011131
0.735471 -0.023692 0.229112 -0.025368
0.737475 -0.037489 0.259725 -0.033197
0.739479 -0.046976 0.268995 -0.029564
0.741483 -0.047333 0.268700 -0.031941
0.743487 -0.050289 0.273983 -0.030078
0.745491 -0.029682 0.262804 -0.057671
0.747495 -0.040541 0.271535 -0.062974
0.749499 -0.047897 0.270561 -0.048310
0.751503 -0.049429 0.261519 -0.062714
0.753507 -0.049919 0.268835 -0.060777
0.755511 -0.055807 0.272178 -0.075159
0.757515 -0.057721 0.275842 -0.075090
0.759519 -0.067774 0.288989 -0.078444
0.761523 -0.050895 0.289095 -0.078536
0.763527 -0.067896 0.295368 -0.053946
0.765531 -0.079938 0.296323 -0.054597
0.767535 -0.081886 0.295099 -0.062943
0.769539 -0.086627 0.305393 -0.051528
0.771543 -0.099898 0.316096 -0.062737
0.773547 -0.090415 0.308712 -0.061378
0.775551 -0.088109 0.292744 -0.062138
0.777555 -0.098180 0.304964 -0.068871
0.779559 -0.089086 0.297004 -0.054044
0.781563 -0.066318 0.287698 -0.065409
0.783567 -0.064259 0.296492 -0.073440
0.785571 -0.053955 0.297054 -0.066823
0.787575 -0.078269 0.293202 -0.058048
0.789579 -0.080833 0.296063 -0.060192
0.791583 -0.089844 0.305231 -0.073432
0.793587 -0.088310 0.292290 -0.072296
0.795591 -0.106725 0.303453 -0.066580
0.797595 -0.099674 0.285634 -0.049717
0.799599 -0.080382 0.258484 -0.036464
0.801603 -0.089570 0.255334 -0.032316
0.803607 -0.089052 0.250541 -0.032553
0.805611 -0.094122 0.245739 -0.024494
0.807615 -0.077661 0.228519 -0.015619
0.809619 -0.091888 0.241569 -0.023476
0.811623 -0.098008 0.252956 -0.023646
0.813627 -0.093942 0.244654 -0.023130
0.815631 -0.084598 0.229015 -0.016725
0.817635 -0.085281 0.215719 -0.012895
0.819639 -0.068301 0.205835 -0.004340
0.821643 -0.095023 0.218237 -0.002899
0.823647 -0.085310 0.201737 -0.001739
0.825651 -0.087286 0.205073 -0.006011
0.827655 -0.104081 0.219224 -0.003388
0.829659 -0.113850 0.229535 -0.003783
0.831663 -0.115833 0.237059 -0.004653
0.833667 -0.108482 0.231944 -0.011603
0.835671 -0.100643 0.221935 -0.012538
0.837675 -0.098535 0.227929 -0.015506
0.839679 -0.104977 0.224078 -0.012690
0.841683 -0.124272 0.239172 -0.014387
0.843687 -0.124694 0.236941 -0.013870
0.845691 -0.104928 0.218061 -0.010542
0.847695 -0.096383 0.221413 -0.027886
0.849699 -0.090321 0.215223 -0.018034
0.851703 -0.084759 0.207894 -0.031554
0.853707 -0.085508 0.203111 -0.026289
0.855711 -0.081480 0.190201 -0.015429
0.857715 -0.072808 0.175545 -0.017633
0.859719 -0.054197 0.167330 -0.025444
0.861723 -0.051814 0.165285 -0.031779
0.863727 -0.039016 0.152121 -0.039211
0.865731 -0.038505 0.147055 -0.033841
0.867735 -0.036294 0.140350 -0.030863
0.869739 -0.032474 0.140874 -0.031876
0.871743 -0.026016 0.133496 -0.025664
0.873747 -0.042965 0.142742 -0.023812
0.875752 -0.042511 0.143725 -0.024520
0.877756 -0.033015 0.142911 -0.029927
0.879760 -0.028587 0.130912 -0.025534
0.881764 -0.019055 0.121867 -0.018268
0.883768 -0.019388 0.123530 -0.033682
0.885772 -0.018287 0.123082 -0.037143
0.887776 -0.028007 0.127808 -0.040284
0.889780 -0.016654 0.112981 -0.038410
0.891784 -0.016338 0.106485 -0.028101
0.893788 -0.025957 0.111505 -0.021174
0.895792 -0.030315 0.108062 -0.016176
0.897796 -0.029973 0.111421 -0.025326
0.899800 -0.028794 0.112255 -0.031621
0.901804 -0.034177 0.120045 -0.041387
0.903808 -0.043882 0.128702 -0.040047
0.905812 -0.028861 0.109807 -0.032568
0.907816 -0.038012 0.116050 -0.028520
0.909820 -0.037988 0.112550 -0.022264
0.911824 -0.038022 0.108978 -0.024090
0.913828 -0.033970 0.107304 -0.022206
0.915832 -0.033702 0.109639 -0.025036
0.917836 -0.028546 0.103279 -0.017531
0.919840 -0.024468 0.096796 -0.016312
0.921844 -0.017766 0.091617 -0.014624
0.923848 -0.021504 0.093072 -0.022509
0.925852 -0.035366 0.106247 -0.027951
0.927856 -0.037294 0.105291 -0.022589
0.929860 -0.046614 0.108815 -0.012630
0.931864 -0.055265 0.117253 -0.018201
0.933868 -0.067350 0.126305 -0.012823
0.935872 -0.063768 0.122156 -0.011098
0.937876 -0.057381 0.113776 -0.010032
0.939880 -0.070987 0.125449 -0.007733
0.941884 -0.083317 0.134147 -0.007448
0.943888 -0.086353 0.136056 -0.002374
0.945892 -0.087115 0.136288 0.000108
0.947896 -0.086374 0.134867 -0.001114
0.949900 -0.094735 0.142702 -0.007645
0.951904 -0.091619 0.140126 -0.011242
0.953908 -0.091192 0.140081 -0.015894
0.955912 -0.083493 0.132942 -0.011073
0.957916 -0.069506 0.120433 -0.005326
0.959920 -0.073526 0.123630 -0.005421
0.961924 -0.079273 0.128972 -0.004888
0.963928 -0.087057 0.135425 -0.008884
0.965932 -0.093237 0.140603 -0.009022
0.967936 -0.097493 0.144645 -0.016132
0.969940 -0.097968 0.146145 -0.008606
0.971944 -0.099786 0.147292 -0.011497
0.973948 -0.104709 0.149956 -0.017132
0.975952 -0.092978 0.139658 -0.013251
0.977956 -0.095773 0.140969 -0.009701
0.979960 -0.106343 0.149464 -0.015116
0.981964 -0.109819 0.152557 -0.010313
0.983968 -0.112408 0.154691 -0.014127
0.985972 -0.115332 0.156361 -0.014346
0.987976 -0.112124 0.152197 -0.011804
0.989980 -0.108530 0.148516 -0.009333
0.991984 -0.108406 0.148780 -0.009833
0.993988 -0.107816 0.148189 -0.012272
0.995992 -0.112111 0.150569 -0.011738
0.997996 -0.109144 0.146885 -0.015024
1.000000 -0.120290 0.149555 -0.021191
