Time p_x p_y p_z
0.472946 -0.062187 5.188467 -0.208018
0.474950 -0.062004 5.199430 -0.208342
0.476954 -0.061825 5.210395 -0.208656
0.478958 -0.061612 5.221372 -0.208965
0.480962 -0.061386 5.232344 -0.209290
0.482966 -0.061168 5.243329 -0.209617
0.484970 -0.060941 5.254321 -0.209951
0.486974 -0.060731 5.265331 -0.210275
0.488978 -0.060500 5.276355 -0.210593
0.490982 -0.060268 5.287375 -0.210934
0.492986 -0.060037 5.298390 -0.211291
0.494990 -0.059819 5.309405 -0.211635
0.496994 -0.059591 5.320424 -0.211978
0.498998 -0.059365 5.331462 -0.212313
0.501002 -0.059163 5.342497 -0.212657
0.503006 -0.058958 5.353547 -0.213011
0.505010 -0.058757 5.364596 -0.213369
0.507014 -0.058551 5.375654 -0.213716
0.509018 -0.058345 5.386718 -0.214072
0.511022 -0.058147 5.397780 -0.214429
0.513026 -0.057942 5.408871 -0.214786
0.515030 -0.057740 5.419954 -0.215126
0.517034 -0.057552 5.431057 -0.215457
0.519038 -0.057354 5.442168 -0.215808
0.521042 -0.057154 5.453297 -0.216171
0.523046 -0.056951 5.464413 -0.216550
0.525050 -0.056773 5.475536 -0.216919
0.527054 -0.056593 5.486644 -0.217285
0.529058 -0.056401 5.497775 -0.217647
0.531062 -0.056201 5.508916 -0.218013
0.533066 -0.056011 5.520051 -0.218389
0.535070 -0.055835 5.531180 -0.218763
0.537074 -0.055662 5.542289 -0.219144
0.539078 -0.055493 5.553394 -0.219514
0.541082 -0.055301 5.564513 -0.219867
0.543086 -0.055097 5.575633 -0.220217
0.545090 -0.054888 5.586774 -0.220567
0.547094 -0.054677 5.597934 -0.220916
0.549098 -0.054474 5.609103 -0.221280
0.551102 -0.054261 5.620278 -0.221630
0.553106 -0.054037 5.631437 -0.221978
0.555110 -0.053806 5.642605 -0.222322
0.557114 -0.053572 5.653774 -0.222674
0.559118 -0.053335 5.664938 -0.223039
0.561122 -0.053098 5.676095 -0.223399
0.563126 -0.052851 5.687270 -0.223768
0.565130 -0.052612 5.698450 -0.224123
0.567134 -0.052382 5.709627 -0.224489
0.569138 -0.052154 5.720801 -0.224867
0.571142 -0.051930 5.731970 -0.225232
0.573146 -0.051700 5.743136 -0.225622
0.575150 -0.051467 5.754306 -0.226018
0.577154 -0.051226 5.765484 -0.226425
0.579158 -0.050974 5.776660 -0.226849
0.581162 -0.050721 5.787824 -0.227278
0.583166 -0.050475 5.798997 -0.227718
0.585170 -0.050228 5.810163 -0.228160
