Iteration P0_1 P0_2 P0_3 P0_4 P0_5 P0_6 P0_7 P0_8 P0_9 P0_10 P0_11 P0_12 P0_13 P0_14 P0_15 P0_16 P0_17 P0_18 P0_19 P0_20 P0_21 
57 2.639122 0.997889 2.557746 0.540281 1.098320 1.683306 1.474238 0.653275 0.079724 1.577694 0.634631 1.515138 0.346549 0.187046 1.610757 0.317981 0.734674 0.789259 -0.045674 0.136855 1.213198 
58 2.640797 0.999646 2.559587 0.541829 1.099906 1.684446 1.475187 0.654262 0.080487 1.578148 0.635667 1.516216 0.347354 0.187518 1.611243 0.318816 0.735521 0.789803 -0.045309 0.137224 1.213430 
59 2.642412 1.001345 2.561372 0.543335 1.101457 1.685589 1.476102 0.655217 0.081234 1.578585 0.636668 1.517261 0.348145 0.187974 1.611714 0.319629 0.736352 0.790352 -0.044952 0.137587 1.213666 
60 2.643970 1.002989 2.563103 0.544802 1.102974 1.686731 1.476985 0.656142 0.081966 1.579007 0.637636 1.518277 0.348923 0.188415 1.612171 0.320420 0.737164 0.790905 -0.044603 0.137943 1.213905 
61 2.645473 1.004579 2.564783 0.546229 1.104456 1.687870 1.477838 0.657038 0.082682 1.579413 0.638573 1.519262 0.349688 0.188842 1.612614 0.321191 0.737959 0.791460 -0.044262 0.138294 1.214148 
62 2.646925 1.006118 2.566414 0.547619 1.105905 1.689003 1.478662 0.657907 0.083383 1.579805 0.639479 1.520220 0.350439 0.189255 1.613044 0.321940 0.738737 0.792015 -0.043929 0.138638 1.214391 
63 2.648328 1.007609 2.567997 0.548971 1.107321 1.690129 1.479459 0.658749 0.084068 1.580184 0.640357 1.521150 0.351175 0.189654 1.613461 0.322670 0.739497 0.792569 -0.043603 0.138975 1.214636 
64 2.649683 1.009053 2.569534 0.550288 1.108705 1.691247 1.480228 0.659566 0.084738 1.580550 0.641207 1.522054 0.351898 0.190041 1.613867 0.323381 0.740241 0.793121 -0.043286 0.139306 1.214881 
65 2.650994 1.010452 2.571027 0.551570 1.110056 1.692353 1.480973 0.660359 0.085394 1.580903 0.642031 1.522932 0.352606 0.190416 1.614260 0.324072 0.740968 0.793671 -0.042975 0.139630 1.215125 
66 2.652262 1.011808 2.572478 0.552818 1.111377 1.693448 1.481693 0.661128 0.086034 1.581244 0.642828 1.523786 0.353301 0.190779 1.614643 0.324746 0.741679 0.794216 -0.042673 0.139948 1.215369 
67 2.653488 1.013123 2.573888 0.554033 1.112666 1.694530 1.482390 0.661875 0.086659 1.581574 0.643602 1.524617 0.353981 0.191131 1.615015 0.325401 0.742374 0.794756 -0.042377 0.140260 1.215611 
68 2.654675 1.014399 2.575258 0.555216 1.113926 1.695599 1.483065 0.662600 0.087270 1.581893 0.644352 1.525424 0.354647 0.191472 1.615376 0.326040 0.743053 0.795291 -0.042089 0.140565 1.215852 
69 2.655825 1.015637 2.576591 0.556368 1.115156 1.696652 1.483719 0.663304 0.087867 1.582202 0.645080 1.526210 0.355300 0.191803 1.615728 0.326661 0.743717 0.795820 -0.041807 0.140863 1.216091 
70 2.656938 1.016838 2.577886 0.557490 1.116357 1.697690 1.484352 0.663988 0.088450 1.582501 0.645786 1.526974 0.355939 0.192123 1.616069 0.327266 0.744365 0.796343 -0.041533 0.141156 1.216327 
